countryiso3code,date,value
ABW,1990.0,90.078
ABW,1991.0,89.72
ABW,1992.0,89.361
ABW,1993.0,89.007
ABW,1994.0,88.653
ABW,1995.0,88.299
ABW,1996.0,87.944
ABW,1997.0,87.59
ABW,1998.0,87.256
ABW,1999.0,86.923
ABW,2000.0,86.589
ABW,2001.0,86.255
ABW,2002.0,85.921
ABW,2003.0,84.721
ABW,2004.0,83.521
ABW,2005.0,82.322
ABW,2006.0,81.122
ABW,2007.0,79.922
ABW,2008.0,78.855
ABW,2009.0,77.789
ABW,2010.0,76.722
ABW,2011.0,75.655
ABW,2012.0,74.589
ABW,2013.0,73.561
ABW,2014.0,72.534
ABW,2015.0,71.506
ABW,2016.0,70.479
ABW,2017.0,69.451
ABW,2018.0,68.514
ABW,2019.0,67.577
ABW,2020.0,0.0
AFE,1990.0,661.0070957314499
AFE,1991.0,665.014652093975
AFE,1992.0,668.810242008833
AFE,1993.0,679.8860632397409
AFE,1994.0,691.200519860892
AFE,1995.0,702.749585171919
AFE,1996.0,714.4068090171149
AFE,1997.0,726.157535783233
AFE,1998.0,731.9277026189691
AFE,1999.0,737.6805163938691
AFE,2000.0,743.381789092761
AFE,2001.0,748.897789560394
AFE,2002.0,754.288934093099
AFE,2003.0,738.15437126437
AFE,2004.0,721.9637284518731
AFE,2005.0,705.714174271755
AFE,2006.0,689.3982809790471
AFE,2007.0,673.0033575596981
AFE,2008.0,652.2350396706049
AFE,2009.0,631.554758673375
AFE,2010.0,610.963207959061
AFE,2011.0,590.45319881062
AFE,2012.0,570.0096640856871
AFE,2013.0,557.7119242107971
AFE,2014.0,545.485597819287
AFE,2015.0,533.332050430358
AFE,2016.0,521.222625349075
AFE,2017.0,509.183575535459
AFE,2018.0,500.21834971328303
AFE,2019.0,492.94368956396
AFE,2020.0,0.0
AFG,1990.0,348.006
AFG,1991.0,339.752
AFG,1992.0,331.499
AFG,1993.0,326.243
AFG,1994.0,320.987
AFG,1995.0,315.731
AFG,1996.0,310.475
AFG,1997.0,305.218
AFG,1998.0,299.408
AFG,1999.0,293.597
AFG,2000.0,287.786
AFG,2001.0,281.975
AFG,2002.0,276.164
AFG,2003.0,269.54
AFG,2004.0,262.917
AFG,2005.0,256.293
AFG,2006.0,249.669
AFG,2007.0,243.045
AFG,2008.0,238.354
AFG,2009.0,233.662
AFG,2010.0,228.971
AFG,2011.0,224.28
AFG,2012.0,219.588
AFG,2013.0,215.307
AFG,2014.0,211.026
AFG,2015.0,206.746
AFG,2016.0,202.465
AFG,2017.0,198.184
AFG,2018.0,192.532
AFG,2019.0,188.839
AFG,2020.0,0.0
AGO,1990.0,396.039
AGO,1991.0,393.9
